Product code,Bureau of Meteorology station number,Year,Month,Mean minimum temperature (°C),Quality
IDCJAC0004,061078,1988,02,16.8,Y
IDCJAC0004,061078,1988,03,14.9,Y
IDCJAC0004,061078,1988,04,14.7,Y
IDCJAC0004,061078,1988,05,11.5,Y
IDCJAC0004,061078,1988,06,8.5,Y
IDCJAC0004,061078,1988,07,7.6,Y
IDCJAC0004,061078,1988,08,6.6,Y
IDCJAC0004,061078,1988,09,10.3,Y
IDCJAC0004,061078,1988,10,12.2,Y
IDCJAC0004,061078,1988,11,14.6,Y
IDCJAC0004,061078,1988,12,18.2,Y
IDCJAC0004,061078,1989,01,17.2,Y
IDCJAC0004,061078,1989,02,16.0,Y
IDCJAC0004,061078,1989,03,17.2,Y
IDCJAC0004,061078,1989,04,15.9,Y
IDCJAC0004,061078,1989,05,12.9,Y
IDCJAC0004,061078,1989,06,9.4,Y
IDCJAC0004,061078,1989,07,6.8,Y
IDCJAC0004,061078,1989,08,6.0,Y
IDCJAC0004,061078,1989,09,8.4,Y
IDCJAC0004,061078,1989,10,11.4,Y
IDCJAC0004,061078,1989,11,13.9,Y
IDCJAC0004,061078,1989,12,16.0,Y
IDCJAC0004,061078,1990,01,18.0,Y
IDCJAC0004,061078,1990,02,18.4,Y
IDCJAC0004,061078,1990,03,16.4,Y
IDCJAC0004,061078,1990,04,16.3,Y
IDCJAC0004,061078,1990,05,12.0,Y
IDCJAC0004,061078,1990,06,8.4,Y
IDCJAC0004,061078,1990,07,7.9,Y
IDCJAC0004,061078,1990,08,7.8,Y
IDCJAC0004,061078,1990,09,9.8,Y
IDCJAC0004,061078,1990,10,12.2,Y
IDCJAC0004,061078,1990,11,14.6,Y
IDCJAC0004,061078,1990,12,18.8,Y
IDCJAC0004,061078,1991,01,19.6,Y
IDCJAC0004,061078,1991,02,18.8,Y
IDCJAC0004,061078,1991,03,15.6,Y
IDCJAC0004,061078,1991,04,11.8,Y
IDCJAC0004,061078,1991,05,11.6,Y
IDCJAC0004,061078,1991,06,10.6,Y
IDCJAC0004,061078,1991,07,7.0,Y
IDCJAC0004,061078,1991,08,6.2,Y
IDCJAC0004,061078,1991,09,8.8,Y
IDCJAC0004,061078,1991,10,12.3,Y
IDCJAC0004,061078,1991,11,13.3,Y
IDCJAC0004,061078,1991,12,15.6,Y
IDCJAC0004,061078,1992,01,17.3,Y
IDCJAC0004,061078,1992,02,18.5,Y
IDCJAC0004,061078,1992,03,16.7,Y
IDCJAC0004,061078,1992,04,14.0,Y
IDCJAC0004,061078,1992,05,11.4,Y
IDCJAC0004,061078,1992,06,7.7,Y
IDCJAC0004,061078,1992,07,6.5,Y
IDCJAC0004,061078,1992,08,6.9,Y
IDCJAC0004,061078,1992,09,8.7,Y
IDCJAC0004,061078,1992,10,12.0,Y
IDCJAC0004,061078,1992,11,13.4,Y
IDCJAC0004,061078,1992,12,16.9,Y
IDCJAC0004,061078,1993,01,19.3,Y
IDCJAC0004,061078,1993,02,17.7,Y
IDCJAC0004,061078,1993,03,15.6,Y
IDCJAC0004,061078,1993,04,12.5,Y
IDCJAC0004,061078,1993,05,9.9,Y
IDCJAC0004,061078,1993,06,7.6,Y
IDCJAC0004,061078,1993,07,8.3,Y
IDCJAC0004,061078,1993,08,7.5,Y
IDCJAC0004,061078,1993,09,9.3,Y
IDCJAC0004,061078,1993,10,11.5,Y
IDCJAC0004,061078,1993,11,14.0,Y
IDCJAC0004,061078,1993,12,16.8,Y
IDCJAC0004,061078,1994,01,18.1,Y
IDCJAC0004,061078,1994,02,18.5,Y
IDCJAC0004,061078,1994,03,15.5,Y
IDCJAC0004,061078,1994,04,12.2,Y
IDCJAC0004,061078,1994,05,9.9,Y
IDCJAC0004,061078,1994,06,8.1,Y
IDCJAC0004,061078,1994,07,6.1,Y
IDCJAC0004,061078,1994,08,5.7,Y
IDCJAC0004,061078,1994,09,7.8,Y
IDCJAC0004,061078,1994,10,10.2,Y
IDCJAC0004,061078,1994,11,15.1,Y
IDCJAC0004,061078,1994,12,17.2,Y
IDCJAC0004,061078,1995,01,17.9,Y
IDCJAC0004,061078,1995,02,16.9,Y
IDCJAC0004,061078,1995,03,16.2,Y
IDCJAC0004,061078,1995,04,11.3,Y
IDCJAC0004,061078,1995,05,12.0,Y
IDCJAC0004,061078,1995,06,7.9,Y
IDCJAC0004,061078,1995,07,6.0,Y
IDCJAC0004,061078,1995,08,6.7,Y
IDCJAC0004,061078,1995,09,9.7,Y
IDCJAC0004,061078,1995,10,12.3,Y
IDCJAC0004,061078,1995,11,15.7,Y
IDCJAC0004,061078,1995,12,15.8,Y
IDCJAC0004,061078,1996,01,19.1,Y
IDCJAC0004,061078,1996,02,17.1,Y
IDCJAC0004,061078,1996,03,15.3,Y
IDCJAC0004,061078,1996,04,11.5,Y
IDCJAC0004,061078,1996,05,11.9,Y
IDCJAC0004,061078,1996,06,8.8,Y
IDCJAC0004,061078,1996,07,6.9,Y
IDCJAC0004,061078,1996,08,6.7,Y
IDCJAC0004,061078,1996,09,9.7,Y
IDCJAC0004,061078,1996,10,11.9,Y
IDCJAC0004,061078,1996,11,13.7,Y
IDCJAC0004,061078,1996,12,15.9,Y
IDCJAC0004,061078,1997,01,16.2,Y
IDCJAC0004,061078,1997,02,19.6,Y
IDCJAC0004,061078,1997,03,16.4,Y
IDCJAC0004,061078,1997,04,12.1,Y
IDCJAC0004,061078,1997,05,11.6,Y
IDCJAC0004,061078,1997,06,7.2,Y
IDCJAC0004,061078,1997,07,6.9,Y
IDCJAC0004,061078,1997,08,6.1,Y
IDCJAC0004,061078,1997,09,10.4,Y
IDCJAC0004,061078,1997,10,11.3,Y
IDCJAC0004,061078,1997,11,16.8,Y
IDCJAC0004,061078,1997,12,18.7,Y
IDCJAC0004,061078,1998,01,19.5,Y
