Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,061078,1983,04,186.2,Y
IDCJAC0001,061078,1983,05,68.4,Y
IDCJAC0001,061078,1983,06,92.2,Y
IDCJAC0001,061078,1983,07,55.6,Y
IDCJAC0001,061078,1983,08,59.2,Y
IDCJAC0001,061078,1983,09,47.8,Y
IDCJAC0001,061078,1983,10,122.2,Y
IDCJAC0001,061078,1983,11,67.8,Y
IDCJAC0001,061078,1983,12,88.8,Y
IDCJAC0001,061078,1984,01,187.2,Y
IDCJAC0001,061078,1984,02,60.6,Y
IDCJAC0001,061078,1984,03,213.6,Y
IDCJAC0001,061078,1984,04,89.6,Y
IDCJAC0001,061078,1984,05,59.2,Y
IDCJAC0001,061078,1984,06,80.6,Y
IDCJAC0001,061078,1984,07,106.4,Y
IDCJAC0001,061078,1984,08,10.4,Y
IDCJAC0001,061078,1984,09,27.6,Y
IDCJAC0001,061078,1984,10,77.8,Y
IDCJAC0001,061078,1984,11,128.4,Y
IDCJAC0001,061078,1984,12,57.4,Y
IDCJAC0001,061078,1985,01,2.2,Y
IDCJAC0001,061078,1985,02,88.0,Y
IDCJAC0001,061078,1985,03,84.4,Y
IDCJAC0001,061078,1985,04,228.8,Y
IDCJAC0001,061078,1985,05,140.8,Y
IDCJAC0001,061078,1985,06,82.8,Y
IDCJAC0001,061078,1985,07,74.8,Y
IDCJAC0001,061078,1985,08,45.6,Y
IDCJAC0001,061078,1985,09,70.6,Y
IDCJAC0001,061078,1985,10,167.0,Y
IDCJAC0001,061078,1985,11,88.6,Y
IDCJAC0001,061078,1985,12,69.8,Y
IDCJAC0001,061078,1986,01,205.6,Y
IDCJAC0001,061078,1986,02,84.6,Y
IDCJAC0001,061078,1986,03,20.2,Y
IDCJAC0001,061078,1986,04,99.4,Y
IDCJAC0001,061078,1986,05,41.2,Y
IDCJAC0001,061078,1986,06,47.0,Y
IDCJAC0001,061078,1986,07,30.2,Y
IDCJAC0001,061078,1986,08,125.0,Y
IDCJAC0001,061078,1986,09,56.4,Y
IDCJAC0001,061078,1986,10,48.4,Y
IDCJAC0001,061078,1986,11,114.4,Y
IDCJAC0001,061078,1986,12,14.2,Y
IDCJAC0001,061078,1987,01,92.4,Y
IDCJAC0001,061078,1987,02,10.4,Y
IDCJAC0001,061078,1987,03,115.4,Y
IDCJAC0001,061078,1987,04,81.0,Y
IDCJAC0001,061078,1987,05,170.4,Y
IDCJAC0001,061078,1987,06,80.6,Y
IDCJAC0001,061078,1987,07,138.6,Y
IDCJAC0001,061078,1987,08,179.8,Y
